address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 1587 34th Avenue,2,3,2343,1000000,Central Sunset,6
Address: 122 Bridgeview Drive,2,3,1323,605000,Silver Terrace,6
Address: 869 Darien Way,2,3,1739,240000,Mount Davidson Manor,6
Address: 117 Manchester Street,1,1,640,1030000,Bernal Heights,4
Address: 859 Moultrie Street,3,3,1223,820000,Bernal Heights,5
Address: 2625 Clement Street #201,1,2,690,370000,Central Richmond,4
Address: 1054 Ingerson Avenue,1,1,774,320000,Bayview,3
Address: 601 Van Ness Avenue #846,1,1,733,427000,Van Ness - Civic Center,3
Address: 55 Page Street #424,1,1,866,676000,Van Ness - Civic Center,5
Address: 425 1st Street #3304,1,1,605,525000,South Beach,3
Address: 425 1st Street #2501,1,1,837,1139000,South Beach,3
Address: 188 Minna Street #29C,2,2,1670,2150000,Yerba Buena,5
Address: 229 Brannan Street #6E,2,2,1063,1050000,South Beach,5
Address: 1 Daniel Burnham Court #1106,1,1,750,520000,Van Ness - Civic Center,3
Address: 108 San Jose Avenue #2,2,3,1292,883000,Mission,6
Address: 936 Esmeralda Avenue,3,3,1772,1275000,Bernal Heights,6
Address: 101 South Hill Boulevard,1,2,1641,600000,Crocker Amazon,5
Address: 4264 22nd Street,3,3,1650,1305000,Eureka Valley - Dolores Heights - Castro,6
Address: 677 Sanchez Street,2,4,2000,3025000,Eureka Valley - Dolores Heights - Castro,10
Address: 2235 45th Avenue,1,2,1350,545000,Outer Parkside,6
Address: 2337 16th Avenue,2,3,1730,1011000,Inner Parkside,8
Address: 527 15th Avenue,3,4,2020,1280000,Central Richmond,11
Address: 223 Spruce Street,4.5,6,5760,7050000,Presidio Heights,11
Address: 847 40th Avenue,2,3,2268,857500,Outer Richmond,8
Address: 2121 Noriega Street,2,3,1617,800000,Central Sunset,7
Address: 108 Mallorca Way,2,2,1700,1395000,Marina,7
Address: 1033 Ingerson Avenue,1,2,680,320000,Bayview,4
Address: 1290 Portola Drive,3,3,2352,1190000,West Portal,6
Address: 21 San Pablo Avenue,2,4,3000,1450000,St. Francis Wood,8
Address: 970 Duncan Street #205F,2,2,1175,450000,Diamond Heights,4
Address: 2218 Castro Street,2.5,3,1650,1295000,Noe Valley,6
Address: 2400 Diamond Street,3,3,2200,1885000,Glen Park,9
Address: 2120 Stockton Street #305,1,1,699,475000,Telegraph Hill,3
Address: 225 Brookdale Avenue,2,3,1460,430000,Visitacion Valley,5
Address: 400 Pioche Street,2,3,1600,615000,Portola,6
Address: 213 Diamond Cove Terrace,3,3,1647,643000,Bayview,6
Address: 266 University Street,3,3,3025,925000,Portola,7
Address: 601 Van Ness Avenue #752,1,1,855,425000,Van Ness - Civic Center,3
Address: 555 4th Street #441,1,1,694,535500,South of Market,4
Address: 200 Brannan Street #337,3.5,3,3047,2700000,South Beach,7
Address: 1483 Sutter Street #1001,1,1,1050,659000,Van Ness - Civic Center,4
Address: 108 San Jose Avenue #1,2,3,1300,1315000,Mission,6
Address: 100 Shawnee Avenue,1.5,3,1078,200000,Outer Mission,5
Address: 39 Lobos Street,2,4,1726,665500,Oceanview,7
Address: 4038 23rd Street,1.5,3,1850,2300000,Noe Valley,6
Address: 65 Caselli Avenue,4,2,1955,1754000,Eureka Valley - Dolores Heights - Castro,8
Address: 336 Liberty Street,3,2,2992,2300000,Eureka Valley - Dolores Heights - Castro,8
Address: 1021 Divisadero Street,2,7,2950,392500,North Panhandle,11
Address: 1300 Eddy Street,2,3,1900,180000,Western Addition,5
Address: 2102 Baker Street #2100,2,3,2034,950000,Pacific Heights,5
Address: 1621 McAllister Street,2,7,3974,2400000,North Panhandle,12
Address: 2474 40th Avenue,2,3,1650,720000,Outer Parkside,7
Address: 375 Pacheco Street,1.5,3,2260,1435000,Forest Hill,6
Address: 1324 Hayes Street,1,1,2180,520000,North Panhandle,6
Address: 369 Upper Terrace,3,4,3178,2450000,Parnassus - Ashbury,10
Address: 2108 Golden Gate Avenue,1,2,1289,930000,North Panhandle,5
Address: 667 27th Avenue,1,2,1075,300000,Central Richmond,5
Address: 674 41st Avenue,1,2,1384,549000,Outer Richmond,5
Address: 797 43rd Avenue,3,4,2155,675000,Outer Richmond,8
Address: 259 32nd Avenue,1.5,3,2141,1927000,Sea Cliff,6
Address: 1562 34th Avenue,3,4,2225,985000,Central Sunset,8
Address: 3028 Laguna Street,3,3,1507,1300000,Cow Hollow,8
Address: 1372 Francisco Street,3,3,2172,2700000,Marina,7
Address: 40 Borica Street,1.5,3,1360,800000,Ingleside Terrace,6
Address: 795 Teresita Boulevard,1.5,3,1315,925000,Miraloma Park,6
Address: 950 Monterey Boulevard,3,3,1940,1221500,Westwood Highlands,6
Address: 111 San Benito Way,2.5,3,2349,1475000,St. Francis Wood,8
Address: 134 Hearst Avenue,1,2,825,498000,Sunnyside,4
Address: 113 Stoneridge Lane #2209,2,3,1588,268000,Crocker Amazon,6
Address: 110 Ankeny Street,2,4,1132,678000,Visitacion Valley,7
Address: 201 Harrison Street #125,1,1,496,485000,South Beach,2
Address: 840 Powell Street #601,3.5,5,3077,2700000,Nob Hill,9
Address: 138 Coleridge Street,1,2,1125,760000,Bernal Heights,5
Address: 15 Nebraska Street,3,3,1610,791000,Bernal Heights,7
Address: 118 Coso Avenue,3,3,2220,1179000,Bernal Heights,9
Address: 883 Rolph Street,2,3,1188,523000,Crocker Amazon,6
Address: 3140 Clay Street #4,1,1,1062,794000,Pacific Heights,3
Address: 2908 Pacific Avenue,5.5,5,6968,6500000,Pacific Heights,12
Address: 2126 27th Avenue,4,3,1848,729000,Parkside,10
Address: 125 Dorantes Avenue,3.5,4,3401,1650000,Forest Hill,10
Address: 310 Stanyan Street #204,2,2,1019,565000,Lone Mountain,4
Address: 143 Beaumont Avenue,2,2,1346,845000,Lone Mountain,5
Address: 2945 Scott Street,4,4,3363,3800000,Cow Hollow,12
Address: 1263 Revere Avenue,2,4,995,425000,Bayview,5
Address: 331 Teresita Boulevard,1,2,1645,2229000,Miraloma Park,5
Address: 2096 Pine Street,1,1,1239,750000,Lower Pacific Heights,4
Address: 4529 25th Street,5,4,4021,3750000,Noe Valley,9
Address: 1479 Revere Avenue,3,3,2248,215000,Bayview,9
Address: 1827 Jennings Street,2,2,962,350000,Bayview,5
Address: 3701 Market Street #1,2,2,1348,645000,Twin Peaks,5
Address: 4147 26th Street,1,1,1755,875000,Noe Valley,6
Address: 129 Stratford Drive,2,4,2297,840000,Lakeside,8
Address: 70 Arleta Avenue,1,2,1000,533000,Visitacion Valley,4
Address: 244 Ivy Street,1,1,518,525000,Van Ness - Civic Center,3
Address: 967 Natoma Street,1,1,745,825000,South of Market,3
Address: 382 Texas Street,1.5,3,1560,1300000,Potrero Hill,6
Address: 746 Wisconsin Street,1,2,1993,1465000,Potrero Hill,10
Address: 750 2nd Street #602,3,3,2075,2825000,South Beach,6
Address: 849 Mason Street #3,2,2,1350,1335000,Downtown,5
Address: 1150 Sacramento Street #401,3,2,2589,2500000,Nob Hill,6
Address: 768 Guerrero Street,2,2,1560,1215000,Mission,6
Address: 21 Oakwood Street,4,6,2726,1581000,Mission,14
Address: 197 Gladstone Drive,1,2,864,420000,Excelsior,4
Address: 8 Fountain Street,1,2,725,799000,Noe Valley,4
Address: 10 Fountain Street,1,2,747,899000,Noe Valley,4
Address: 4317 25th Street,2,3,1500,1010000,Noe Valley,6
Address: 323 Parnassus Avenue,1,2,929,749000,Parnassus - Ashbury,4
Address: 595 12th Avenue #2,1,0,447,320000,Inner Richmond,2
Address: 3310 California Street,1,2,701,841000,Presidio Heights,4
Address: 107 3rd Avenue,5,5,2814,1525000,Lake,14
Address: 339 31st Avenue,1,4,2532,2988000,Central Richmond,8
Address: 3619 Lincoln Way,2,4,2000,670000,Outer Sunset,8
Address: 1883 14th Avenue,2.5,5,2814,1735000,Golden Gate Heights,9
Address: 306 Thornton Avenue,4,3,1000,498000,Bayview,6
Address: 559 Monterey Boulevard,1,2,1424,700000,Sunnyside,7
Address: 136 Molimo Drive,1.5,3,1097,710000,Miraloma Park,5
Address: 658 Rockdale Drive,1,2,1150,832000,Miraloma Park,5
Address: 1433 Diamond Street,3.5,4,3421,3425000,Noe Valley,8
Address: 2614 Diamond Street,1,2,1276,1060000,Glen Park,5
Address: 462 Ramsell Street,2,3,1746,450000,Merced Heights,6
Address: 222 Monticello Street,2,3,1288,768000,Merced Heights,6
Address: 1275 Sloat Boulevard,2,3,1578,800000,Lakeshore,6
Address: 782 Sweeny Street,1,3,994,599000,Portola,5
Address: 79 Alder Street,2,3,1625,600000,Visitacion Valley,7
Address: 251 Oak Street,1,2,800,635500,Hayes Valley,12
Address: 81 Lansing Street #407,1,1,1085,1140000,South Beach,4
Address: 2225 23rd Street #305,1,2,809,501000,Potrero Hill,4
Address: 300 3rd Street #604,1,1,807,517000,Yerba Buena,3
Address: 720 York Street #215,1,1,557,399000,Mission,2
Address: 100 Bache Street,4,4,2880,220000,Bernal Heights,9
Address: 121 Kingston Street,2,3,1200,750000,Bernal Heights,8
Address: 442 Noe Street,2,4,2768,1930000,Eureka Valley - Dolores Heights - Castro,10
Address: 2378 41st Avenue,1,3,1250,675000,Outer Parkside,9
Address: 147 14th Avenue,3.5,4,2606,2425000,Lake,8
Address: 1435 Bay Street #4,1,1,825,535000,Marina,3
Address: 2349 Green Street,2.5,3,1763,1576000,Pacific Heights,13
Address: 1772 Vallejo Street,4.5,5,4659,6250000,Pacific Heights,16
Address: 100 Ledyard Street,1,2,1204,637000,Silver Terrace,5
Address: 215 Red Rock Way #102J,1,1,744,374000,Diamond Heights,3
Address: 4318 26th Street,4.5,4,3700,5250000,Noe Valley,3
Address: 43 Varennes Street,1,2,874,640000,Telegraph Hill,4
Address: 25 Alta Street,2,3,1262,1650000,Telegraph Hill,7
Address: 325 Berry Street #514,1,1,853,625000,South of Market,4
Address: 355 1st Street #2102,2,2,1622,1915000,South Beach,5
Address: 260 King Street #465,2,2,1654,550000,South of Market,4
Address: 555 4th Street #603,2,2,981,755000,South of Market,5
Address: 889 North Point Street #1,2,2,1056,600000,Russian Hill,5
Address: 316 Rutledge Street,3,3,2500,1530000,Bernal Heights,10
Address: 4308 21st Street,1.5,2,1150,2200000,Eureka Valley - Dolores Heights - Castro,6
Address: 3133 Sacramento Street,2,2,1587,1475000,Pacific Heights,5
Address: 2338 California Street,3.5,3,3090,2050000,Pacific Heights,9
Address: 779 8th Avenue,2,3,2055,340500,Inner Richmond,8
Address: 590 38th Avenue,2,3,1625,740000,Outer Richmond,6
Address: 1711 43rd Avenue,1,2,1112,701000,Outer Sunset,5
Address: 457 Valley Street,2,4,1516,837500,Noe Valley,7
Address: 765 Market Street #33E,2.5,2,1455,1925000,Yerba Buena,5
Address: 15 Littlefield Terrace,1,3,956,500000,Potrero Hill,5
Address: 650 Delancey Street #208,2,2,1572,1300000,South Beach,5
Address: 1145 Pine Street #24,1,0,390,370000,Downtown,2
Address: 3620 19th Street #7,2.5,2,1319,1189000,Mission,6
Address: 1234 Church Street,3,0,2875,825000,Noe Valley,10
Address: 1345 Turk Street #209,2,2,972,325500,Western Addition,4
Address: 2320 Lyon Street,5,4,3200,4990000,Pacific Heights,9
Address: 2578 30th Avenue,1,2,1350,776000,Parkside,7
Address: 1769 Grove Street,1,2,1216,825000,North Panhandle,5
Address: 2838 Golden Gate Avenue,2,4,2432,1050000,Lone Mountain,11
Address: 1219 48th Avenue,1,2,961,650000,Outer Sunset,5
Address: 782 Clementina Street,2,4,1530,865500,South of Market,8
Address: 355 1st Street #S509,2,2,995,800000,South Beach,4
Address: 260 King Street #267,1,1,699,187500,South of Market,3
Address: 601 4th Street #327,1,1,1173,629000,South of Market,2
Address: 126 Bronte Street,2,3,1588,1055000,Bernal Heights,6
Address: 69 San Juan Avenue,1,3,2542,610000,Mission Terrace,8
Address: 1949 Oak Street,4,3,3093,2195000,Haight-Ashbury,8
Address: 3579 Sacramento Street,2,3,1519,1435000,Presidio Heights,6
Address: 466 Greenwich Street,1,2,950,729000,Telegraph Hill,4
Address: 360 Guerrero Street #419,1,2,930,609000,Mission,4
Address: 608 Missouri Street #A,3.5,3,1907,1007500,Potrero Hill,6
Address: 734 Wisconsin Street,1,2,1250,1025000,Potrero Hill,5
Address: 1760 Pacific Avenue #7,2,3,1684,1275000,Pacific Heights,6
Address: 944 Chestnut Street,4,4,9699,4980000,Russian Hill,13
Address: 4255 Folsom Street,2,2,1539,471000,Bernal Heights,7
Address: 313 Franconia Street,2,3,1620,980000,Bernal Heights,7
Address: 603 Gates Street,3,3,2229,1110000,Bernal Heights,6
Address: 443 Plymouth Avenue,4,4,1052,440000,Oceanview,7
Address: 1982 Alemany Boulevard,2,4,1500,540000,Mission Terrace,7
Address: 442 Hearst Avenue,2,2,1150,850000,Sunnyside,5
Address: 49 Seward Street #2,1,2,1384,975000,Eureka Valley - Dolores Heights - Castro,5
Address: 2672 Sacramento Street,3.5,5,4142,5000000,Pacific Heights,9
Address: 2211 Broderick Street #5,1,2,1110,910000,Pacific Heights,5
Address: 3519 Sacramento Street,1,3,1607,910000,Presidio Heights,6
Address: 246 11th Avenue,5,5,3350,1975000,Inner Richmond,9
Address: 834 30th Avenue,1.5,2,1225,790500,Central Richmond,5
Address: 225 Topeka Avenue,1,2,887,420000,Silver Terrace,4
Address: 2920 Ingalls Street,1.5,3,920,425000,Bayview,5
Address: 3218 Ingalls Street,4,4,2981,550500,Bayview,7
Address: 67 San Leandro Way,2,4,2236,2100000,St. Francis Wood,8
Address: 380 Monterey Boulevard #302,1,1,647,485000,Sunnyside,3
Address: 2510 Diamond Street,1.5,3,962,1010000,Glen Park,5
Address: 4338 26th Street,3,4,2185,1745000,Noe Valley,9
Address: 8400 Oceanview Terrace #102,2,3,1200,410000,Ingleside Heights,5
Address: 460 Francisco Street #102,1,1,585,530000,North Beach,3
Address: 566 Filbert Street,1.5,3,1200,1305000,Telegraph Hill,5
Address: 401 Crescent Court #4103,1,1,805,216000,Bayview,3
Address: 3104 25th Street,1,2,1144,570000,Mission,5
Address: 2513 Pacific Avenue,5,5,3960,7500000,Pacific Heights,12
Address: 177 Townsend Street #335,1,1,815,629000,South Beach,3
Address: 1483 Sutter Street #1702,1,1,650,487500,Van Ness - Civic Center,3
Address: 468 Noe Street,2,3,2032,1870000,Eureka Valley - Dolores Heights - Castro,7
Address: 1310 Fillmore Street #505,1,1,827,579000,Western Addition,5
Address: 81 Webster Street,1,2,1365,1150000,Hayes Valley,5
Address: 93 Carmel Street,2.5,3,2039,2050000,Parnassus - Ashbury,8
Address: 4237 Balboa Street,1,1,1075,565000,Outer Richmond,5
Address: 583 25th Avenue,1,1,740,680000,Central Richmond,4
Address: 345 El Camino Del Mar,3.5,4,3725,2671000,Lake,8
Address: 1347 15th Avenue,1,4,1940,900000,Inner Sunset,7
Address: 1990 Green Street #105,2,2,1385,1000000,Cow Hollow,5
Address: 1347 Palou Avenue,1,2,950,280000,Bayview,5
Address: 41 Newburg Street,1,3,1425,1100000,Noe Valley,6
Address: 57 Bemis Street,3,3,2540,1290000,Glen Park,12
Address: 119 Girard Street,1.5,3,1125,600000,Portola,4
Address: 3102 25th Street,1,2,1144,527000,Mission,4
Address: 3106 25th Street,1,3,1144,656000,Mission,6
Address: 309 Moraga Street,3,3,1847,1199000,Inner Sunset,8
Address: 601 Van Ness Avenue #602,1,1,676,390000,Van Ness - Civic Center,3
Address: 355 1st Street #S607,2,2,1034,829000,South Beach,4
Address: 2918 Van Ness Avenue #2,2,2,1470,901000,Russian Hill,5
Address: 1711 Baker Street,3,3,2450,2150000,Lower Pacific Heights,10
Address: 2434 Judah Street,3,4,1640,789000,Central Sunset,6
Address: 1237 Gilman Avenue,2,3,1789,234000,Bayview,6
Address: 128 Marietta Drive,2,2,784,735000,Miraloma Park,6
Address: 143 Skyview Way,1,2,1064,760000,Midtown Terrace,5
Address: 2123 Castro Street,1,2,854,1350000,Noe Valley,5
Address: 555 Bright Street,1,2,1178,262500,Merced Heights,5
Address: 1830 Taylor Street,6,8,5020,2000000,Russian Hill,15
Address: 612 Fell Street,3,9,5574,1325000,Hayes Valley,21
Address: 355 1st Street #S503,1,1,566,519000,South Beach,3
Address: 529 Vermont Street,1,3,1282,825000,Potrero Hill,8
Address: 307 Arkansas Street,3,2,1380,960000,Potrero Hill,7
Address: 1241 Green Street,2,4,2060,1150000,Russian Hill,9
Address: 265 Harold Avenue,2,4,1748,725000,Ingleside,7
Address: 235 Upper Terrace,1,1,816,704000,Parnassus - Ashbury,4
Address: 1627 18th Avenue,1,2,1376,835000,Inner Sunset,6
Address: 2909 Octavia Street,1,1,688,675000,Cow Hollow,4
Address: 2195 Green Street #6,2,2,1432,949000,Pacific Heights,4
Address: 264 Surrey Street,4,4,2798,2525000,Glen Park,8
Address: 262 Ralston Street,1,2,975,520000,Ingleside Heights,4
Address: 360 Stratford Drive,4,5,2237,850000,Lakeside,5
Address: 601 Van Ness Avenue #12,2,2,1022,585000,Van Ness - Civic Center,5
Address: 2077 Jackson Street #18,1,1,640,537000,Pacific Heights,2
Address: 1960 Bush Street,2,4,2894,1100000,Lower Pacific Heights,9
Address: 2551 20th Avenue,1,5,1933,1038000,Parkside,9
Address: 630 El Camino Del Mar,4,4,5860,4998500,Sea Cliff,11
Address: 1530 44th Avenue,1,2,1640,930000,Outer Sunset,10
Address: 775 Myra Way,2,3,742,705000,Miraloma Park,4
Address: 840 Powell Street #702,3.1,3,3077,3500000,Nob Hill,9
Address: 2111 Franklin Street #6,2,3,1699,1195000,Pacific Heights,5
Address: 39 Cordova Street,1,2,1280,515000,Crocker Amazon,5
Address: 399 Athens Street,3,3,1820,565000,Excelsior,10
Address: 372 Baltimore Way,2,3,1570,688000,Crocker Amazon,7
Address: 372 Douglass Street,4,4,2164,1505000,Eureka Valley - Dolores Heights - Castro,8
Address: 553 Elizabeth Street,7,5,4456,7000000,Noe Valley,13
Address: 4626 25th Street,2,4,2250,1649000,Noe Valley,8
Address: 2009 Buchanan Street,4.5,5,4000,2655000,Lower Pacific Heights,11
Address: 3128 Wawona Street,1,2,1012,640000,Outer Parkside,4
Address: 2314 44th Avenue,1,3,1700,818000,Outer Parkside,6
Address: 1442 14th Avenue,1,2,880,665000,Inner Sunset,4
Address: 1115 Moraga Street,2,4,1600,800000,Inner Sunset,6
Address: 675 Noriega Street,1.5,3,1590,966000,Golden Gate Heights,6
Address: 2479 Francisco Street,1.5,2,1055,950000,Marina,5
Address: 306 Thornton Avenue,4,3,1000,498000,Bayview,6
Address: 745 Ulloa Street,1.5,2,1584,1079000,West Portal,6
Address: 464 Chenery Street,1,2,1100,922000,Glen Park,5
Address: 15 Surrey Street,5,3,3406,1825000,Glen Park,8
Address: 1856 Powell Street #301,1,1,759,535000,North Beach,3
Address: 300 Berry Street #1204,1,2,851,720000,South of Market,4
Address: 325 Berry Street #328,2,2,1660,1350000,South of Market,5
Address: 601 4th Street #306,1,1,1056,677000,South of Market,2
Address: 1817 California Street #210,1,1,542,485000,Van Ness - Civic Center,4
Address: 1340 Clay Street #402,1,1,700,1250000,Nob Hill,5
Address: 3375 17th Street #307,2,2,1311,965000,Mission,5
Address: 82 Lyell Street,1,2,1018,470147,Mission Terrace,4
Address: 60 Montana Street,2,3,850,538000,Oceanview,5
Address: 3869 25th Street,1,2,1800,1306000,Eureka Valley - Dolores Heights - Castro,8
Address: 2299 Sacramento Street #14,1,2,1252,1150000,Pacific Heights,5
Address: 156 Carmel Street,1,1,771,550000,Parnassus - Ashbury,3
Address: 140 Belvedere Street,1.5,2,1347,1150000,Haight-Ashbury,5
Address: 1 San Pablo Avenue,2.5,3,1695,1700000,St. Francis Wood,7
Address: 215 Red Rock Way #308J,2,2,1175,605000,Diamond Heights,4
Address: 170 Guerrero Street #E,1,2,800,620000,Mission,3
Address: 1177 California Street #1514,2.5,2,1399,950000,Downtown,4
Address: 372 Nevada Street,1,2,1000,725000,Bernal Heights,4
Address: 3025 20th Street #C,2,2,1245,886000,Mission,6
Address: 101 Mt. Vernon Avenue,1,2,1534,635000,Outer Mission,5
Address: 1231 Castro Street,3.5,4,2338,1900000,Noe Valley,9
Address: 35 Germania Street,1.5,2,875,755000,Hayes Valley,5
Address: 648 Clayton Street,1.5,3,1479,850000,Haight-Ashbury,6
Address: 544 Waller Street #3,2,3,1808,1200000,Hayes Valley,6
Address: 120 Belvedere Street,3,4,2180,1850000,Haight-Ashbury,8
Address: 1310 15th Avenue,5,0,3772,1155000,Inner Sunset,15
Address: 2700 Green Street,3,2,2250,2275000,Cow Hollow,6
Address: 154 Ulloa Street,4,4,3263,1200000,Forest Hill Extension,13
Address: 140 Moffitt Street,2,2,897,852500,Glen Park,4
Address: 244 Chester Avenue,2,3,1625,605000,Ingleside Heights,7
Address: 1856 Powell Street #202,1,1,731,575000,North Beach,3
Address: 334 Princeton Street,3,4,1742,651000,Portola,8
Address: 1 Daniel Burnham Court #701,1,1,772,150000,Van Ness - Civic Center,3
Address: 1686 28th Avenue,2,3,1440,710000,Central Sunset,5
Address: 823 Dwight Street,2,4,1395,689000,Portola,6
Address: 250 King Street #1604,1,0,587,540000,South of Market,2
Address: 555 4th Street #841,2.5,2,1026,879000,South of Market,5
Address: 219 Brannan Street #9K,2,2,1224,1752000,South Beach,4
Address: 840 Powell Street #602,4,5,3077,3750000,Nob Hill,9
Address: 66 Cleary Court #1408,2,2,1106,895000,Western Addition,5
Address: 1388 Gough Street #1103,2,2,1192,790000,Van Ness - Civic Center,5
Address: 1835 Franklin Street #201,2,2,1612,1240000,Pacific Heights,4
Address: 351 Prentiss Street,2,3,1292,499000,Bernal Heights,6
Address: 857 Alabama Street,3,3,2054,2150000,Mission,6
Address: 859 Alabama Street,3,3,2053,2600000,Mission,6
Address: 311 Paris Street,1,3,800,438000,Excelsior,5
Address: 305 Hanover Street,1,2,885,575000,Crocker Amazon,4
Address: 578 Vienna Street,2,4,2101,1038000,Excelsior,6
Address: 20 Junior Terrace,4,5,1899,671000,Mission Terrace,8
Address: 285 Santa Rosa Avenue,1,2,1776,675000,Mission Terrace,8
Address: 1133 Cayuga Avenue,2,3,1744,730000,Mission Terrace,8
Address: 176 Seneca Avenue,2,3,1862,770000,Mission Terrace,7
Address: 649 Faxon Avenue,1.25,3,1625,805000,Mount Davidson Manor,7
Address: 471 Hoffman Avenue,4.5,5,1222,6700000,Noe Valley,5
Address: 637 Noe Street,2.5,2,2160,1530000,Eureka Valley - Dolores Heights - Castro,6
Address: 1345 Turk Street #110,2,3,1201,295000,Western Addition,5
Address: 2111 Bush Street,1,2,1286,920000,Lower Pacific Heights,5
Address: 2711 Pine Street,2,3,1547,1215000,Lower Pacific Heights,6
Address: 2444 Clay Street,2,4,2000,1800000,Pacific Heights,8
Address: 2511 47th Avenue,2,3,1328,550000,Outer Parkside,6
Address: 2366 33rd Avenue,4,5,2500,1350000,Parkside,6
Address: 120 Quintara Street,1,2,1175,771000,Golden Gate Heights,5
Address: 403 Carl Street,2,2,1691,1105000,Haight-Ashbury,6
Address: 124 Beaumont Avenue,2,2,1138,825000,Lone Mountain,5
Address: 163 Beaumont Avenue,3.5,3,3265,1950000,Lone Mountain,6
Address: 2985 Lake Street,6,5,3460,3214000,Sea Cliff,13
Address: 1787 48th Avenue,2,3,1750,897000,Outer Sunset,7
Address: 1762 19th Avenue,2,2,1340,580000,Inner Sunset,6
Address: 1367 37th Avenue,1,2,1450,800000,Outer Sunset,5
Address: 1462 30th Avenue,2,3,1800,920000,Central Sunset,12
Address: 1315 11th Avenue,2,3,1156,925000,Inner Sunset,7
Address: 548 Ortega Street,2.5,4,2500,1325000,Golden Gate Heights,9
Address: 1724 North Point Street,3.5,4,3400,2862500,Marina,13
Address: 1477 Palou Avenue,1,2,2037,285000,Bayview,7
Address: 32 Jennings Court,2,3,1674,730000,Bayview,6
Address: 85 Yerba Buena Avenue,3,3,2809,1375000,St. Francis Wood,7
Address: 109 South Lake Merced Hills #1E,2,2,1272,700000,Lakeshore,5
Address: 234 Chester Avenue,1,3,1816,685000,Ingleside Heights,8
Address: 25 Beachmont Drive,2,3,2308,1275000,Lakeside,8
Address: 224 Argonaut Avenue,3,4,1726,400000,Visitacion Valley,7
Address: 1125 Goettingen Street,2,3,1294,588000,Visitacion Valley,6
Address: 16 Melra Court,3,4,2283,636500,Visitacion Valley,8
Address: 1839 15th Street #158,1,0,500,416000,Mission,2
Address: 425 1st Street #2203,2,2,1278,1200000,South Beach,4
Address: 88 King Street #711,2,2,1242,1059000,South Beach,5
Address: 1350 California Street #207,2,2,1165,739000,Nob Hill,4
Address: 1701 Jackson Street #106,2,2,1108,810000,Pacific Heights,4
Address: 1950 Gough Street #201,1.5,2,1210,965000,Pacific Heights,4
Address: 3626 25th Street,1,2,1118,890000,Mission,5
Address: 525 Morse Street,2,3,830,543000,Crocker Amazon,5
Address: 69 Douglass Street,2,3,1288,890000,Corona Heights,5
Address: 1310 Fillmore Street #705,1,1,827,480000,Western Addition,4
Address: 3720 Rivera Street,1,2,1138,660000,Outer Parkside,5
Address: 1728 10th Avenue,2,3,1890,970000,Inner Sunset,6
Address: 1690 Kirkwood Avenue,1,2,1822,375000,Bayview,7
Address: 1894 Donner Avenue,1,2,1225,451000,Silver Terrace,5
Address: 139 Chaves Avenue,1,2,1112,875000,Miraloma Park,5
Address: 195 Juanita Way,3,4,2252,1200000,Miraloma Park,8
Address: 924 Chenery Street,1,2,1088,976000,Glen Park,5
Address: 41 Ora Way,3,4,2500,1850000,Diamond Heights,8
Address: 210 Laidley Street,1.5,3,1483,1900000,Glen Park,5
Address: 225 Laguna Street,3,3,2107,1700000,Hayes Valley,7
Address: 475 Tehama Street #303,1,1,618,465000,South of Market,3
Address: 188 Minna Street #27A,3,3,2027,2810000,Yerba Buena,6
Address: 359 Prague Street,1,3,1094,581500,Excelsior,5
Address: 728 26th Avenue,2.5,3,2600,942000,Central Richmond,10
Address: 555 45th Avenue,2.5,3,3600,1550000,Outer Richmond,10
Address: 1355 46th Avenue,1,2,1169,575000,Outer Sunset,5
Address: 1839 11th Avenue,3.5,5,2630,1200000,Golden Gate Heights,9
Address: 2150 Vallejo Street #3,1,2,1279,895000,Pacific Heights,4
Address: 2021 Green Street,2.5,3,1372,1250000,Pacific Heights,6
Address: 1727 McKinnon Avenue,1,3,768,389000,Bayview,4
Address: 845 Mendell Street,3,3,1793,355000,Bayview,7
Address: 35 Melrose Avenue,1,2,1137,799000,Sunnyside,5
Address: 324 Elliot Street,2,3,1449,510000,Visitacion Valley,7
Address: 1097 Howard Street #209,1,1,1056,685000,South of Market,1
Address: 650 Delancey Street #205,2,1,1565,1700000,South Beach,5
Address: 130 Marsilly Street,2,2,1619,760000,Bernal Heights,7
Address: 157 Westwood Drive,3,5,2346,1240000,Westwood Park,11
Address: 3378 16th Street,1,2,1149,750000,Mission,5
Address: 208 Caselli Avenue,5,7,3600,1535000,Eureka Valley - Dolores Heights - Castro,12
Address: 2454 17th Avenue,1,2,1150,680000,Inner Parkside,5
Address: 2259 14th Avenue,2,3,2290,855000,Inner Parkside,7
Address: 1466 Grove Street,1,3,1065,750000,North Panhandle,4
Address: 250 Laussat Street,2,2,1394,1100000,Hayes Valley,5
Address: 777 Clayton Street,5,8,4026,2065000,Haight-Ashbury,10
Address: 546 34th Avenue,2,2,1416,980000,Outer Richmond,6
Address: 33 Santa Paula Avenue,1.5,2,1666,1000000,St. Francis Wood,6
Address: 230 Vasquez Avenue,3.5,3,2236,1185000,Forest Hill Extension,8
Address: 395 Valley Street,1,2,931,770000,Noe Valley,5
Address: 1047 Clay Street,1,2,1616,1301000,Nob Hill,6
Address: 1900 Sutter Street #8,1,1,700,508000,Lower Pacific Heights,3
